system:index,Dissolved Reactive Phosphorus,Electrical Conductance,Index,Latitude,Longitude,MNDWI,NDMI,Sample Date,Total Alkalinity,elevation,green,humidity,modis_lc_class,nir,pet,population_3km,precip_0d,precip_1d,precip_3d_sum,slope,soil_clay,soil_ph,soil_sand,swir16,swir22,temp_c,water_occurrence,.geo
0000000000000000000e,82,396,15,-25.45963889,28.26430556,-0.208531845,-0.041129295,4/1/2011,108.9400024,1098,9926,73.17893523,10,13959,103.6,213.1377754,0,12.14241771,12.14241771,2.96339529,23,64,63,15156.5,12552.5,22.87400144,0,"{""type"":""Point"",""coordinates"":[28.264305560000004,-25.45963889]}"
0000000000000000000f,91,218.6000061,16,-27.49555588,26.07472229,-0.24321639,-0.005709376,4/1/2011,67.80000305,1253,11044.5,81.30591406,10,17937.5,99.700005,102.8047166,3.890816269,13.68318193,40.04417906,2.286428297,22,73,68,18143.5,14152.5,21.58103269,0,"{""type"":""Point"",""coordinates"":[26.07472229003906,-27.495555877685547]}"
10,62,532,17,-26.64805603,27.089444,-0.148881449,0.196993646,5/1/2011,211,1357,9597,86.31635494,10,19310.5,83.5,550.06735,12.8773141,0,23.45159855,1.037605708,25,62,62,12954.5,9447.5,19.43475812,0,"{""type"":""Point"",""coordinates"":[27.089444000000004,-26.64805603027344]}"
11,117,248.3999939,18,-26.97027779,27.21111107,0.162931557,0.125051612,5/1/2011,71.5,1326,11040,83.96716074,10,10218,82.1,82.46847761,14.18306642,0,15.55746103,0,,,,7946.5,7735,19.71942609,91,"{""type"":""Point"",""coordinates"":[27.211111068725586,-26.970277786254883]}"
12,74,255.5,19,-27.38972222,26.46388889,0.149355798,0.144437799,5/1/2011,82.13999939,1249,11597,81.12876095,10,11481,83.200005,164.9580179,7.530045607,0.486170718,40.03093952,0,23,70,62,8583,8196.5,20.93467674,81,"{""type"":""Point"",""coordinates"":[26.46388889,-27.38972222]}"
13,85,220.8999939,20,-27.044444,27.00499916,-0.170705168,0.109264301,5/1/2011,83,1311,9908,82.80598791,10,17418.5,82.4,122.4209541,4.686976283,0,17.35953212,3.471357279,25,66,61,13987,10115,20.28200747,0,"{""type"":""Point"",""coordinates"":[27.004999160766598,-27.044444]}"
14,10,145,21,-30.830556,26.92138863,0.100263367,0.178319723,6/1/2011,62.09899902,1328,4491,65.77179195,10,5266.5,57,20.38916497,0,0,0,5.125250093,25,70,55,3672.5,3764.5,19.2048069,69,"{""type"":""Point"",""coordinates"":[26.921388626098633,-30.830556]}"
15,150,114.5,22,-27.00222015,28.76527977,-0.146035732,0.026880413,6/1/2011,34.85499954,1497,9691,78.5224275,12,13724,70,15.4102063,0,16.68126787,44.89524554,2.968161592,27,69,57,13005.5,10754.5,16.63164609,0,"{""type"":""Point"",""coordinates"":[28.765279769897457,-27.00222015380859]}"
16,152,148.8000031,23,-27.02313995,28.59388924,-0.019811228,0.051136624,6/1/2011,41.40800095,1493,9969.5,78.08349908,13,11490.5,72.4,8241.352167,0,15.12906966,45.38720788,5.882007317,29,65,57,10372.5,9135,16.80409075,43,"{""type"":""Point"",""coordinates"":[28.5938892364502,-27.02313995361328]}"
17,44,138.3000031,24,-30.67972183,26.71249962,0.152031455,0.266301266,6/1/2011,55.29700089,1298,10548,65.10421848,13,13400,59.8,13357.07497,0,0,0,0,27,69,53,7764,7659,19.47507057,35,"{""type"":""Point"",""coordinates"":[26.712499618530273,-30.67972183227539]}"
18,13,167.1000061,25,-30.1600914,27.4012394,-0.089489761,0.080949018,6/1/2011,57.91600037,1417,10060,66.81291875,10,14158,57.4,230.6403185,0,0,17.01530276,5.100532597,21,66,60,12037.5,10023.5,17.92852109,0,"{""type"":""Point"",""coordinates"":[27.4012393951416,-30.160091400146484]}"
19,19,63.09999847,26,-32.59583282,19.009444,-0.175555467,0.016141686,6/1/2011,8.62100029,157,10334,25.93552817,13,15218.5,52.7,8081.265301,0,0,0,0.927409937,21,69,64,14735,12208.5,32.35015195,0,"{""type"":""Point"",""coordinates"":[19.009444,-32.59583282470704]}"
0000000000000000001a,32,283.7999878,27,-25.99135971,27.84207916,-0.167105938,0.060823025,10/1/2011,82.43199921,1364,11771.5,70.76898924,10,18631.5,173.2,2448.916354,0,0,0,2.964988382,26,62,60,16495,12815,19.02817879,0,"{""type"":""Point"",""coordinates"":[27.842079162597656,-25.991359710693363]}"
0000000000000000001b,105,189.1000061,28,-26.73806,27.59193993,0.070286048,0.066060695,10/1/2011,55.29999924,1417,9167,70.91479476,10,9089.5,179.40001,1118.464413,0,1.336305382,1.336305382,0.927409937,25,68,54,7963,7740,19.56252124,89,"{""type"":""Point"",""coordinates"":[27.591939926147464,-26.738059997558594]}"
0000000000000000001c,80,635,29,-26.45000076,28.0858326,-0.252805465,-0.083293153,10/1/2011,105.7109985,1476,10720,73.67116005,10,15210,172.90001,2118.426142,0,0,0,3.239776951,29,64,53,17974,14201,18.92718595,0,"{""type"":""Point"",""coordinates"":[28.085832595825195,-26.45000076293945]}"
0000000000000000001d,10,95.59999847,30,-30.86013889,29.07125092,-0.032717761,0.119501692,10/1/2011,40.86100006,825,10724.5,92.92486885,10,14558,138,1148.135571,0,0,0,1.423655925,27,70,51,11450,10000.5,17.66562996,20,"{""type"":""Point"",""coordinates"":[29.071250915527344,-30.860138889999998]}"
0000000000000000001e,151,164,31,-27.35666656,27.286389,-0.142683147,0.141147352,10/1/2011,64.09999847,1361,9502.5,73.61918148,12,16828.5,185.8,60.78863534,0,0,0,4.627367506,27,66,60,12665.5,9643,20.27321459,0,"{""type"":""Point"",""coordinates"":[27.286389,-27.35666656494141]}"
0000000000000000001f,131,203.3999939,32,-27.01011111,26.69808333,0.042672263,0.129650661,11/1/2011,66.09999847,1291,10433.5,66.66153621,10,12433.5,191.7,3151.94203,0,0,0,3.847464255,,,,9579.5,8531.5,21.54141833,61,"{""type"":""Point"",""coordinates"":[26.69808333,-27.01011111]}"
20,56,34.04000092,33,-25.73410988,27.21422005,-0.110315384,-0.005818372,11/1/2011,8,1450,17765,65.74129996,10,21914,182.5,180.7514,0,0,0,14.86415068,25,64,55,22170.5,17965.5,21.78694242,0,"{""type"":""Point"",""coordinates"":[27.21422004699707,-25.73410987854004]}"
21,158,196.6999969,34,-26.98472222,26.63227778,-0.157090654,-0.011861561,11/1/2011,128,1289,10207,67.32347678,10,13683,192,41516.36378,0,0,0,5.189790205,27,68,58,14011.5,11850.5,21.50439034,0,"{""type"":""Point"",""coordinates"":[26.63227778,-26.984722220000002]}"
22,127,190.6000061,35,-27.39861107,26.614722,-0.111660165,0.095012086,11/1/2011,71.59999847,1257,10247,66.00961985,10,15515.5,197.40001,5008.419326,0,0,0,5.579448911,30,67,55,12823,10403.5,21.75032132,0,"{""type"":""Point"",""coordinates"":[26.614722,-27.398611068725586]}"
23,71,275.7000122,36,-27.671111,27.2369442,-0.105415903,0.048048154,11/1/2011,75.09600067,1343,10943,67.57396632,13,14887,192.1,12659.07239,0,0,4.634531098,4.282532506,30,67,54,13522,11403,20.62589099,0,"{""type"":""Point"",""coordinates"":[27.2369441986084,-27.671111]}"
24,10,177.3000031,37,-29.16027832,26.573333,,,11/1/2011,120.2699966,1339,,69.19112117,10,,199.1,20.2451531,0,0,0,0.927409937,23,74,64,,,20.60025622,0,"{""type"":""Point"",""coordinates"":[26.573333,-29.160278320312504]}"
25,12,304.5,38,-34.250556,20.99250031,-0.186744815,-0.032883378,11/1/2011,26.79999924,31,9019,58.05528848,9,12323,140.2,68.71372209,0,0,0,18.15443456,18,71,68,13161,10800.5,20.09732653,0,"{""type"":""Point"",""coordinates"":[20.99250030517578,-34.250556]}"
26,82,489,39,-25.45963889,28.26430556,-0.208531845,-0.041129295,11/1/2011,132,1098,9926,65.65266804,10,13959,182.8,213.1377754,0,0,0,2.96339529,23,64,63,15156.5,12552.5,22.01464424,0,"{""type"":""Point"",""coordinates"":[28.264305560000004,-25.45963889]}"
27,10,584,40,-25.81048333,27.90955222,-0.157808385,0.114355072,12/1/2011,131,1184,9753,60.36968433,7,16870.5,164.1,1321.94734,0,0,0,3.5999893,27,65,54,13408,10257,20.47312317,0,"{""type"":""Point"",""coordinates"":[27.909552220000002,-25.810483330000004]}"
28,32,136.6000061,41,-27.273889,28.48999977,-0.011159923,0.142076629,12/1/2011,49.11399841,1502,9060,62.54494082,13,12333,164.3,13464.24366,0,0,0,13.45025376,25,64,60,9264.5,8181,18.42543437,0,"{""type"":""Point"",""coordinates"":[28.489999771118168,-27.273889000000004]}"
29,45,163.8999939,42,-27.42749977,28.52583313,-0.250949845,-0.03619929,12/1/2011,62.32600021,1513,10794,62.41328818,12,16767,163.6,29.7930463,0,0,0,4.27352172,23,71,66,18026.5,15340.5,18.34649556,0,"{""type"":""Point"",""coordinates"":[28.525833129882812,-27.427499771118168]}"
0000000000000000002a,10,271.7000122,43,-28.88333321,27.88999939,-0.151618008,0.054741915,12/1/2011,117.4400024,1551,9248,72.54842172,13,14007.5,164.2,52131.44671,0,0,21.50178452,4.615288416,20,64,61,12553.5,9979,17.17177226,0,"{""type"":""Point"",""coordinates"":[27.88999938964844,-28.883333206176754]}"
0000000000000000002b,62,190.8999939,44,-27.00222015,28.76527977,-0.146035732,0.026880413,13-01-2011,63.84799957,1497,9691,70.12449077,12,13724,161.6,15.4102063,0,0,0,2.968161592,27,69,57,13005.5,10754.5,18.96117681,0,"{""type"":""Point"",""coordinates"":[28.765279769897457,-27.00222015380859]}"
0000000000000000002c,35,192.6999969,45,-27.02313995,28.59388924,-0.019811228,0.051136624,13-01-2011,62.80599976,1493,9969.5,69.40156443,13,11490.5,163.1,8241.352167,0,0,0,5.882007317,29,65,57,10372.5,9135,19.0993604,43,"{""type"":""Point"",""coordinates"":[28.5938892364502,-27.02313995361328]}"
0000000000000000002d,80,142.6000061,46,-30.534167,24.961944,-0.112648949,0.053850306,13-01-2011,100.961998,1221,10835,59.33435821,7,15132.5,205,23.03507474,0,6.922613228,6.922613228,2.980877633,24,70,56,13586,11169,22.07331874,0,"{""type"":""Point"",""coordinates"":[24.961944000000003,-30.534166999999997]}"
0000000000000000002e,51,353,47,-28.4608326,21.248889,-8.50E-04,0.094952374,13-01-2011,102.8980026,796,12046.5,46.83101336,13,14599,244.7,20706.87271,0,1.662335032,1.662335032,4.627367506,,,,12067,11038.5,27.33593267,0,"{""type"":""Point"",""coordinates"":[21.248889000000002,-28.460832595825195]}"
0000000000000000002f,85,107,48,-29.65805626,25.97333336,-0.075370409,0.055842541,14-01-2011,86.74199677,1324,10765,71.85412206,10,14001,186.90001,34.14880369,0,0,13.93197691,2.326142601,25,73,57,12520,10583,20.84664434,0,"{""type"":""Point"",""coordinates"":[25.973333358764645,-29.65805625915527]}"
30,64,297.2000122,49,-28.760833,17.73027802,0.195594737,0.185538339,16-01-2011,95.39800262,166,11426,32.59505702,16,11190,257.5,0.038670851,0,0,0,15.68506692,23,80,63,7687.5,7645,26.17794825,98,"{""type"":""Point"",""coordinates"":[17.73027801513672,-28.760833000000005]}"
31,11,155.5,50,-25.513889,31.224444,-0.153547968,0.086470588,17-01-2011,63.16500092,441,9116.5,85.73680866,8,14776,149.40001,321.5245572,0,0,47.50666468,9.41428553,19,57,60,12424,9895,22.15506325,0,"{""type"":""Point"",""coordinates"":[31.224444000000002,-25.513889000000002]}"
32,114,315.3999939,51,-26.861111,28.88472176,-0.180134355,0.124566152,17-01-2011,101.6849976,1525,9550,85.38492061,12,17658.5,161,119.6157047,6.945538582,0,6.945538582,2.784306215,32,67,54,13746.5,10574,18.02941221,0,"{""type"":""Point"",""coordinates"":[28.884721755981445,-26.861111]}"
33,12,197.1999969,52,-31.55472183,29.24555588,-0.19028236,0.170968993,17-01-2011,58.20000076,234,9449,81.38897552,9,19619,123.700005,3506.561252,0,9.757786215,9.757786215,26.23692985,27,66,50,13890,10042,19.55219866,0,"{""type"":""Point"",""coordinates"":[29.245555877685547,-31.554721832275398]}"
34,100,220,53,-28.058889,30.37361145,-0.133090098,0.087048514,17-01-2011,58,1142,9326,87.69648597,10,14514,158,333.2855424,0.619913938,0,16.7050942,0,21,64,63,12189.5,9706,17.79699033,0,"{""type"":""Point"",""coordinates"":[30.373611450195312,-28.058889000000004]}"
35,163,415,54,-25.127778,27.628889,-0.124393639,0.079430861,18-01-2011,131,959,5189.5,85.39177694,10,7814,169.3,118.6866787,0,12.98790169,12.98790169,0.927409937,27,71,54,6664,5222,21.37226321,0,"{""type"":""Point"",""coordinates"":[27.628889000000004,-25.127777999999996]}"
36,90,516,55,-25.20639038,27.55800056,0.007265903,0.156299841,18-01-2011,102,956,10466.5,84.43567738,10,14137.5,170,400.101174,0.414261867,12.05096981,20.63073574,5.194470619,29,67,55,10315.5,8536,21.3908179,0,"{""type"":""Point"",""coordinates"":[27.5580005645752,-25.20639038085938]}"
37,158,509,56,-24.69514084,27.40905952,-0.056388895,0.131943559,18-01-2011,124,907,10647,86.76424859,12,15543,172.90001,154.5506935,0,10.27812344,32.07944837,14.55362964,33,68,49,11919.5,9642.5,21.52493248,0,"{""type"":""Point"",""coordinates"":[27.409059524536133,-24.69514083862305]}"
38,10,247.6999969,57,-25.681111,31.78333282,0.029428571,0.132293152,18-01-2011,53.3219986,205,10809,81.89963752,10,13298.5,149.2,24048.38581,0,0,17.83782556,2.768684101,28,70,52,10191,9261,24.25702883,0,"{""type"":""Point"",""coordinates"":[31.78333282470703,-25.681111]}"
39,23,116.9000015,58,-27.80277824,28.76833344,0.02501503,0.130677978,18-01-2011,41.89099884,1562,9803.5,82.26908518,10,12128.5,159.1,24.30694011,10.59349704,5.325884578,15.91938162,9.528580035,32,65,51,9325,8486,17.50906334,0,"{""type"":""Point"",""coordinates"":[28.768333435058594,-27.80277824401856]}"
0000000000000000003a,139,323.7000122,59,-27.39861107,26.614722,-0.111660165,0.095012086,18-01-2011,133.3190002,1257,10247,70.75702124,10,15515.5,191.90001,5008.419326,0,0.103688635,0.103688635,5.579448911,30,67,55,12823,10403.5,21.07970136,0,"{""type"":""Point"",""coordinates"":[26.614722,-27.398611068725586]}"
0000000000000000003b,10,129,60,-31.104278,29.399722,,,18-01-2011,52.98400116,378,,72.48820372,10,,134.1,1871.808533,0,0,7.619259053,21.01506594,25,67,56,,,23.3200985,0,"{""type"":""Point"",""coordinates"":[29.399721999999997,-31.104278]}"
0000000000000000003c,10,89.19999695,61,-31.39599991,29.26510048,0.141899226,0.168085305,18-01-2011,35.74100113,115,11835.5,76.35176068,10,12488,134.5,1351.793981,0,0,8.791170252,7.456679511,22,70,59,8894,8335,23.79487063,64,"{""type"":""Point"",""coordinates"":[29.26510047912597,-31.39599990844726]}"
0000000000000000003d,41,174.3000031,62,-33.38056183,19.30167007,-0.211219169,-0.017315009,18-01-2011,32.9679985,442,10665.5,33.75131316,9,15820,194.3,10051.8839,0,0,0,1.446738319,19,68,61,16377.5,13975,24.37576256,0,"{""type"":""Point"",""coordinates"":[19.301670074462894,-33.38056182861328]}"
0000000000000000003e,23,208.1999969,63,-33.31388889,19.07472222,-0.145057651,0.014509509,18-01-2011,30.25699997,92,9546.5,33.63449346,10,13162.5,205.90001,444.6597101,0,0,0,4.525898873,17,67,64,12786,10889,26.2349748,0,"{""type"":""Point"",""coordinates"":[19.074722219999998,-33.31388889]}"
0000000000000000003f,91,458,64,-27.49555588,26.07472229,-0.24321639,-0.005709376,18-01-2011,176,1253,11044.5,65.90481705,10,17937.5,194.2,102.8047166,0,0,0,2.286428297,22,73,68,18143.5,14152.5,22.18826256,0,"{""type"":""Point"",""coordinates"":[26.07472229003906,-27.495555877685547]}"
40,142,508,65,-24.39619444,27.08983333,,,19-01-2011,120,886,,70.25810281,10,,169.2,155.5171764,0,9.765136701,35.58736585,4.224655379,27,66,56,,,24.63585752,0,"{""type"":""Point"",""coordinates"":[27.08983333,-24.39619444]}"
41,101,202.3999939,66,-26.97027779,27.21111107,0.162931557,0.125051612,19-01-2011,63.90000153,1326,11040,72.03752495,10,10218,173.90001,82.46847761,0,5.108687952,6.003938268,0,,,,7946.5,7735,22.16450335,91,"{""type"":""Point"",""coordinates"":[27.211111068725586,-26.970277786254883]}"
42,176,593,67,-26.88027763,26.96500015,-0.193544994,0.002917707,19-01-2011,235,1302,9582.5,72.28052682,10,14265,175.5,153.8451071,0,0,0,1.393106924,,,,14182,11071.5,22.64342588,0,"{""type"":""Point"",""coordinates"":[26.96500015258789,-26.880277633666996]}"
43,11,149.5,68,-27.273889,28.48999977,-0.011159923,0.142076629,19-01-2011,63.11399841,1502,9060,77.10061947,13,12333,164.3,13464.24366,0,9.582495323,9.582495323,13.45025376,25,64,60,9264.5,8181,20.47374814,0,"{""type"":""Point"",""coordinates"":[28.489999771118168,-27.273889000000004]}"
44,16,150.3000031,69,-27.29999924,28.586944,-0.209807694,0.006766082,19-01-2011,59.0909996,1513,9636,76.79581223,10,14954,163.40001,12.80499786,0,0,0,11.64384773,25,67,61,14753,11537.5,20.37820778,0,"{""type"":""Point"",""coordinates"":[28.586943999999995,-27.299999237060543]}"
45,102,225.1999969,70,-27.044444,27.00499916,-0.170705168,0.109264301,19-01-2011,83.5,1311,9908,71.12593551,10,17418.5,178.7,122.4209541,0,0,0,3.471357279,25,66,61,13987,10115,22.69282366,0,"{""type"":""Point"",""coordinates"":[27.004999160766598,-27.044444]}"
46,12,109.3000031,71,-30.56833267,29.422778,-0.170888929,0.130325605,19-01-2011,40.90000153,1249,9196.5,67.93082181,10,16880,137.7,15418.19792,0,0,0,7.497287757,29,60,49,12987.5,10366.5,22.58377419,0,"{""type"":""Point"",""coordinates"":[29.422778,-30.568332672119144]}"
47,10,90.59999847,72,-30.57083321,29.150556,,,19-01-2011,40.72000122,1357,,63.87702354,10,,138.90001,49.14118303,0,5.854411749,5.854411749,3.720972565,28,61,43,,,22.88390439,0,"{""type"":""Point"",""coordinates"":[29.150556000000005,-30.570833206176758]}"
48,10,266.5,73,-34.03194427,22.05333328,-0.027892881,0.043067711,19-01-2011,17.63999939,54,7859,73.16724127,9,9058,157.5,1436.191082,0,0,0,27.21565871,16,58,68,8310,7822,21.0878432,0,"{""type"":""Point"",""coordinates"":[22.0533332824707,-34.03194427490235]}"
49,35,117.3000031,74,-33.13082886,18.86277962,-0.118171147,0.022211752,19-01-2011,19.32299995,31,11456.5,51.54700059,12,15187,207.1,295.4485381,0,0,0,0,23,68,63,14527,12799,23.58637835,0,"{""type"":""Point"",""coordinates"":[18.862779617309574,-33.130828857421875]}"
0000000000000000004a,27,78.59999847,75,-33.70750046,18.97444444,-0.158667515,0.022133085,19-01-2011,7.890999794,99,9913,57.20987246,13,14270,200.3,64634.13653,0,0,0,0.927409937,24,72,57,13652,11469.5,22.30008278,0,"{""type"":""Point"",""coordinates"":[18.974444440000003,-33.707500457763665]}"
0000000000000000004b,10,231.6999969,76,-25.57877778,29.12747222,-0.238512696,-0.094430346,19-01-2011,58.23199844,1164,10076,74.60002359,10,13560,161.6,79.00106108,0,4.595011234,18.38004494,4.627367506,21,64,62,16388,13014,21.86884905,0,"{""type"":""Point"",""coordinates"":[29.12747222,-25.57877778]}"
0000000000000000004c,14,367,77,-26.006389,29.253889,,,20-01-2011,77.09200287,1512,,72.54804117,10,,152,11.88957889,23.55270506,0,39.82397902,5.558418942,31,65,51,,,20.98910993,0,"{""type"":""Point"",""coordinates"":[29.253889,-26.006389000000002]}"
0000000000000000004d,15,254.8999939,78,-27.02313995,28.59388924,-0.019811228,0.051136624,20-01-2011,94.55699921,1493,9969.5,77.6375304,13,11490.5,163.1,8241.352167,19.42725857,0,25.90301131,5.882007317,29,65,57,10372.5,9135,21.23862165,43,"{""type"":""Point"",""coordinates"":[28.5938892364502,-27.02313995361328]}"
0000000000000000004e,10,158.8999939,79,-30.67972183,26.71249962,0.152031455,0.266301266,20-01-2011,73.86199951,1298,10548,70.32098117,13,13400,180.90001,13357.07497,4.866734463,0,10.20954045,0,27,69,53,7764,7659,21.93580589,35,"{""type"":""Point"",""coordinates"":[26.712499618530273,-30.67972183227539]}"
0000000000000000004f,29,259.1000061,80,-28.4608326,21.248889,-8.50E-04,0.094952374,20-01-2011,85.69999695,796,12046.5,50.1203287,13,14599,244.7,20706.87271,0,0.096672658,0.096672658,4.627367506,,,,12067,11038.5,28.78801943,0,"{""type"":""Point"",""coordinates"":[21.248889000000002,-28.460832595825195]}"
50,12,110.1999969,81,-30.77586667,29.03221667,,,20-01-2011,40.90000153,900,,87.64133406,10,,141.5,735.4506976,6.16755937,0,12.22209114,9.3162766,22,67,58,,,17.87167829,0,"{""type"":""Point"",""coordinates"":[29.032216669999997,-30.775866669999996]}"
51,59,381,82,-24.92527771,29.32444382,-0.20822019,-0.026560106,21-01-2011,85.63600159,839,9112,72.29746593,10,13185,162.40001,190.6748651,5.822820187,0,5.822820187,1.854334169,25,69,57,13904.5,11277,24.02943954,0,"{""type"":""Point"",""coordinates"":[29.324443817138675,-24.92527770996094]}"
52,43,243.1999969,83,-28.4608326,21.248889,-8.50E-04,0.094952374,21-01-2011,81,796,12046.5,57.59993273,13,14599,244.7,20706.87271,6.108004496,0,6.204677154,4.627367506,,,,12067,11038.5,28.40264918,0,"{""type"":""Point"",""coordinates"":[21.248889000000002,-28.460832595825195]}"
53,10,99.59999847,84,-24.67916679,30.80249977,-0.221307447,-0.098090486,24-01-2011,24.95000076,1110,9505.5,83.26990465,10,12245,143.3,4112.550285,0,15.56916146,15.56916146,1.854334169,37,69,42,14908.5,13718,19.37432887,0,"{""type"":""Point"",""coordinates"":[30.80249977111816,-24.679166793823242]}"
54,32,324.2000122,85,-25.99135971,27.84207916,-0.167105938,0.060823025,24-01-2011,90.90000153,1364,11771.5,86.53610965,10,18631.5,161.1,2448.916354,0,8.854661879,13.28199282,2.964988382,26,62,60,16495,12815,19.37375921,0,"{""type"":""Point"",""coordinates"":[27.842079162597656,-25.991359710693363]}"
55,10,124.5,86,-25.4903698,30.69860077,-0.034250747,0.089860399,24-01-2011,36.95700073,827,8325,86.22806816,9,10676,144.7,1357.847665,0,32.27725148,33.85685959,6.887643376,26,63,57,8915.5,8274,19.26942978,0,"{""type"":""Point"",""coordinates"":[30.69860076904297,-25.49036979675293]}"
56,96,287.2999878,87,-26.97027779,27.21111107,0.162931557,0.125051612,24-01-2011,76.23999786,1326,11040,90.45595915,10,10218,173.90001,82.46847761,11.64504657,19.51721653,47.60500982,0,,,,7946.5,7735,19.30230738,91,"{""type"":""Point"",""coordinates"":[27.211111068725586,-26.970277786254883]}"
57,129,142.8999939,88,-27.671111,27.2369442,-0.105415903,0.048048154,24-01-2011,47.18399811,1343,10943,90.30087636,13,14887,182.90001,12659.07239,7.862686566,22.51948489,46.10754459,4.282532506,30,67,54,13522,11403,18.34999619,0,"{""type"":""Point"",""coordinates"":[27.2369441986084,-27.671111]}"
58,123,208.6999969,89,-27.35666656,27.286389,-0.142683147,0.141147352,24-01-2011,87.25,1361,9502.5,89.68904784,12,16828.5,182.40001,60.78863534,0,26.31166029,43.85276817,4.627367506,27,66,60,12665.5,9643,18.84145126,0,"{""type"":""Point"",""coordinates"":[27.286389,-27.35666656494141]}"
